nfotradingsymbol,tradingsymbol,OPEN,HIGH,LOW
BAJAJ-AUTO,BAJAJ-AUTO23NOVFUT,5439.95,5439.95,5358.65
BATAINDIA,BATAINDIA23NOVFUT,1572,1572,1546.75
BIOCON,BIOCON23NOVFUT,227.7,227.7,223.1
COFORGE,COFORGE23NOVFUT,5148.75,5148.75,5070.6
GODREJCP,GODREJCP23NOVFUT,994.65,994.65,980
ICICIGI,ICICIGI23NOVFUT,1369.3,1369.3,1349.9
ICICIPRULI,ICICIPRULI23NOVFUT,526.3,533.3,526.3
METROPOLIS,METROPOLIS23NOVFUT,1630.5,1630.5,1600.35
MGL,MGL23NOVFUT,1021.3,1047.75,1021.3
NESTLEIND,NESTLEIND23NOVFUT,24437.6,24437.6,24165.1
SIEMENS,SIEMENS23NOVFUT,3392.15,3421.5,3392.15
SUNTV,SUNTV23NOVFUT,651.75,651.75,639.15
TITAN,TITAN23NOVFUT,3299.7,3299.7,3242.9
UBL,UBL23NOVFUT,1590.2,1590.2,1564.3
